AA	volcanic rock [n]
GEOSTATIONARY	(of a satellite) in a circular equatorial orbit in which it circles the earth once per sidereal day so that it appears stationary in relation to the earth's surface [adj]
GEOSTRATEGIC	GEOSTRATEGY, a branch of geopolitics that deals with strategy [n]
GEOSTRATEGICAL	GEOSTRATEGY, a branch of geopolitics that deals with strategy [n]
GEOSTRATEGIES	GEOSTRATEGY, a branch of geopolitics that deals with strategy [n]
GEOSTRATEGIST	GEOSTRATEGY, a branch of geopolitics that deals with strategy [n]
GEOSTRATEGISTS	GEOSTRATEGY, a branch of geopolitics that deals with strategy [n]
GEOSTRATEGY	a branch of geopolitics that deals with strategy [n]
GEOSTROPHIC	relating to deflection due to effects of Earth's rotation [adj]
GEOSTROPHICALLY	GEOSTROPHIC, relating to deflection due to effects of Earth's rotation [adj]
GEOSYNCHRONOUS	of a satellite, etc, geostationary [adj]
GEOSYNCLINAL	of or like a geosyncline [adj]
GEOSYNCLINE	a broad elongated depression in the earth's crust containing great thicknesses of sediment [n]
GEOSYNCLINES	GEOSYNCLINE, a broad elongated depression in the earth's crust containing great thicknesses of sediment [n]
GEOTACTIC	GEOTAXIS, movement of an organism in response to the stimulus of gravity [n]
GEOTACTICAL	GEOTAXIS, movement of an organism in response to the stimulus of gravity [n]
GEOTACTICALLY	<geotactical>
GEOTAG	geographical co-ordinates digitally applied to data [n] / apply a geotag to data [v]
GEOTAGGED	GEOTAG, geographical co-ordinates digitally applied to data [n]
GEOTAGGING	GEOTAG, geographical co-ordinates digitally applied to data [n]
GEOTAGS	GEOTAG, geographical co-ordinates digitally applied to data [n]
GEOTAXES	GEOTAXIS, movement of an organism in response to the stimulus of gravity [n]
GEOTAXIS	movement of an organism in response to the stimulus of gravity [n]
GEOTECHNIC	GEOTECHNICS, the application of scientific and engineering principles to the solution of problems related to the nature and constitution of the earth's crust [n]
GEOTECHNICAL	GEOTECHNICS, the application of scientific and engineering principles to the solution of problems related to the nature and constitution of the earth's crust [n]
GEOTECHNICS	the application of scientific and engineering principles to the solution of problems related to the nature and constitution of the earth's crust [n]
GEOTECHNOLOGIES	GEOTECHNOLOGY, the application of science and technology to the extraction and use of the earth's natural resources [n]
GEOTECHNOLOGY	the application of science and technology to the extraction and use of the earth's natural resources [n]
GEOTECTONIC	relating to the structure of rock masses of the earth's crust resulting from folding or faulting [adj]
GEOTECTONICALLY	GEOTECTONIC, relating to the structure of rock masses of the earth's crust resulting from folding or faulting [adj]
GEOTECTONICS	GEOTECTONIC, relating to the structure of rock masses of the earth's crust resulting from folding or faulting [adj]
GEOTEXTILE	any strong synthetic fabric used in civil engineering, as to retain an embankment [n]
GEOTEXTILES	GEOTEXTILE, any strong synthetic fabric used in civil engineering, as to retain an embankment [n]
GEOTHERM	line or surface within or on the earth connecting points of equal temperature [n]
GEOTHERMAL	relating to the internal heat of the earth [adj]
GEOTHERMALLY	GEOTHERMAL, relating to the internal heat of the earth [adj]
GEOTHERMIC	related to the internal heat of the earth [adj]
GEOTHERMOMETER	instrument for measuring subterranean temperatures [n]
GEOTHERMOMETERS	GEOTHERMOMETER, instrument for measuring subterranean temperatures [n]
GEOTHERMS	GEOTHERM, line or surface within or on the earth connecting points of equal temperature [n]
GEOTROPIC	of geotropism: the response of a plant to the stimulus of gravity [adj]
GEOTROPICALLY	GEOTROPIC, of geotropism: the response of a plant to the stimulus of gravity [adj]
GEOTROPISM	a disposition to turn or incline towards the earth [n]
GEOTROPISMS	GEOTROPISM, a disposition to turn or incline towards the earth [n]
GEPIK	one hundredth of a manat [n]
GEPIKS	GEPIK, one hundredth of a manat [n]
GER	portable Mongolian dwelling [n]
GERAH	ancient Hebrew unit of weight [n]
GERAHS	GERAH, ancient Hebrew unit of weight [n]
GERANIACEOUS	belonging to the Geraniaceae, a family of plants that includes the geranium [adj]
GERANIAL	cis- isomer of citral [n]
GERANIALS	GERANIAL, cis- isomer of citral [n]
GERANIOL	type of alcohol with an odour of roses [n]
GERANIOLS	GERANIOL, type of alcohol with an odour of roses [n]
GERANIUM	cultivated plant with red, pink, or white flowers [n]
GERANIUMS	GERANIUM, cultivated plant with red, pink, or white flowers [n]
GERARDIA	any plant of the genus Gerardia [n]
GERARDIAS	GERARDIA, any plant of the genus Gerardia [n]
GERATOLOGICAL	GERATOLOGY, the branch of medicine concerned with elderly people and ageing [n]
GERATOLOGIES	GERATOLOGY, the branch of medicine concerned with elderly people and ageing [n]
GERATOLOGIST	a student of geratology [n]
GERATOLOGISTS	GERATOLOGIST, a student of geratology [n]
GERATOLOGY	the branch of medicine concerned with elderly people and ageing [n]
GERBE	garbe (in heraldry, a wheat-sheaf)
GERBERA	type of plant [n]
GERBERAS	GERBERA, type of plant [n]
GERBES	GERBE [n]
GERBIL	burrowing desert rodent of Asia and Africa [n]
GERBILLE	gerbil (burrowing desert rodent of Asia and Africa)
GERBILLES	GERBILLE [n]
GERBILS	GERBIL, burrowing desert rodent of Asia and Africa [n]
GERE	GEAR, set of toothed wheels used to change direction or speed [n]
GERENT	person who rules or manages [n]
GERENTS	GERENT, person who rules or manages [n]
GERENUK	slender antelope [n]
GERENUKS	GERENUK, slender antelope [n]
GERES	<gere>
GERFALCON	gyrfalcon (very large rare falcon of northern regions)
GERFALCONS	GYRFALCON, very large rare falcon of northern regions [n]
GERIATRIC	of elderly people [adj]
GERIATRICIAN	a specialist in geriatrics [n]
GERIATRICIANS	GERIATRICIAN, a specialist in geriatrics [n]
GERIATRICS	the care of elderly people [n]
GERIATRIST	one specialising in the care of elderly people [n]
GERIATRISTS	GERIATRIST, one specialising in the care of elderly people [n]
GERLE	GIRL, female child [n]
GERLES	<gerle>
GERM	microbe, esp one causing disease [n] / sprout [v]
GERMAIN	germen (cells that gives rise to the germ cells)
GERMAINE	germen (cells that gives rise to the germ cells)
GERMAINES	GERMAINE [n]
GERMAINS	GERMAIN [n]
GERMAN	type of dance [n] / having the same parents as oneself [adj]
GERMANDER	type of plant [n]
GERMANDERS	GERMANDER, type of plant [n]
GERMANE	relevant [adj]
GERMANELY	GERMANE, relevant [adj]
GERMANENESS	GERMANE, relevant [adj]
GERMANENESSES	GERMANE, relevant [adj]
GERMANIC	of or containing germanium in the tetravalent state [adj]
GERMANISATION	the process of germanising [n]
GERMANISATIONS	GERMANISATION, the process of germanising [n]
GERMANISE	germanize (adopt or cause to adopt German customs, speech, institutions, etc)
GERMANISED	GERMANISE [v]
GERMANISES	GERMANISE [v]
GERMANISING	GERMANISE [v]
GERMANITE	mineral consisting of a complex copper arsenic sulphide containing germanium, gallium, iron, zinc, and lead: an ore of germanium and gallium [n]
GERMANITES	GERMANITE, mineral consisting of a complex copper arsenic sulphide containing germanium, gallium, iron, zinc, and lead: an ore of germanium and gallium [n]
GERMANIUM	brittle grey element that is a semiconductor [n]
GERMANIUMS	GERMANIUM, brittle grey element that is a semiconductor [n]
GERMANIZATION	the act of germanizing [n]
GERMANIZATIONS	GERMANIZATION, the act of germanizing [n]
GERMANIZE	adopt or cause to adopt German customs, speech, institutions, etc [v]
GERMANIZED	GERMANIZE, adopt or cause to adopt German customs, speech, institutions, etc [v]
GERMANIZES	GERMANIZE, adopt or cause to adopt German customs, speech, institutions, etc [v]
GERMANIZING	GERMANIZE, adopt or cause to adopt German customs, speech, institutions, etc [v]
GERMANOUS	of or containing germanium in the divalent state [adj]
GERMANS	GERMAN, type of dance [n]
GERMAPHOBE	person who has an abnormal fear of germs [n]
GERMAPHOBES	GERMAPHOBE, person who has an abnormal fear of germs [n]
GERMAPHOBIA	GERMAPHOBE, person who has an abnormal fear of germs [n]
GERMAPHOBIAS	<germaphobia>
GERMED	GERM, microbe, esp one causing disease [n]
GERMEN	cells that gives rise to the germ cells [n]
GERMENS	GERMEN, cells that gives rise to the germ cells [n]
GERMFREE	GERM, microbe, esp one causing disease [n]
GERMICIDAL	of or relating to a germicide [adj]
GERMICIDE	substance that kills germs [n]
GERMICIDES	GERMICIDE, substance that kills germs [n]
GERMIER	GERMY, full of germs [adj]
GERMIEST	GERMY, full of germs [adj]
GERMIN	germen (cells that gives rise to the germ cells)
GERMINA	GERMEN, cells that gives rise to the germ cells [n]
GERMINABILITIES	GERMINATE, (cause to) sprout or begin to grow [v]
GERMINABILITY	GERMINATE, (cause to) sprout or begin to grow [v]
GERMINABLE	GERMINATE, (cause to) sprout or begin to grow [v]
GERMINAL	of or in the earliest stage of development [adj]
GERMINALLY	GERMINAL, of or in the earliest stage of development [adj]
GERMINANT	in the process of germinating [adj]
GERMINATE	(cause to) sprout or begin to grow [v]
GERMINATED	GERMINATE, (cause to) sprout or begin to grow [v]
GERMINATES	GERMINATE, (cause to) sprout or begin to grow [v]
GERMINATING	GERMINATE, (cause to) sprout or begin to grow [v]
GERMINATION	the process by which a seedling emerges and develops from a seed [n]
GERMINATIONS	GERMINATION, the process by which a seedling emerges and develops from a seed [n]
GERMINATIVE	serving to germinate [adj]
GERMINATOR	one who germinates [n]
GERMINATORS	GERMINATOR, one who germinates [n]
GERMINESS	GERMY, full of germs [adj]
GERMINESSES	<germiness>
GERMING	GERM, microbe, esp one causing disease [n]
GERMINS	GERMIN [n]
GERMLIKE	GERM, microbe, esp one causing disease [n]
GERMLINE	sequence of germ cells [n]
GERMLINES	GERMLINE, sequence of germ cells [n]
GERMOPHOBE	person who has an abnormal fear of germs [n]
GERMOPHOBES	GERMOPHOBE, person who has an abnormal fear of germs [n]
GERMOPHOBIA	GERMOPHOBE, person who has an abnormal fear of germs [n]
GERMOPHOBIAS	<germophobia>
GERMPLASM	plant genetic material [n]
GERMPLASMS	GERMPLASM, plant genetic material [n]
GERMPROOF	protected against the penetration of germs [adj]
GERMS	GERM, microbe, esp one causing disease [n]
GERMY	full of germs [adj]
GERNE	grin [v]
GERNED	GERNE, grin [v]
GERNES	GERNE, grin [v]
GERNING	GERNE, grin [v]
GERONIMO	shout given by US paratroopers as they jump into battle [interj]
GERONTIC	of or relating to the senescence of an organism [adj]
GERONTOCRACIES	GERONTOCRACY, government by the aged [n]
GERONTOCRACY	government by the aged [n]
GERONTOCRAT	a member of a gerontocracy, government by the aged [n]
GERONTOCRATIC	GERONTOCRACY, government by the aged [n]
GERONTOCRATS	GERONTOCRAT, a member of a gerontocracy, government by the aged [n]
GERONTOLOGIC	GERONTOLOGY, the study of ageing [n]
GERONTOLOGICAL	GERONTOLOGY, the study of ageing [n]
GERONTOLOGIES	GERONTOLOGY, the study of ageing [n]
GERONTOLOGIST	one who studies gerontology [n]
GERONTOLOGISTS	GERONTOLOGIST, one who studies gerontology [n]
GERONTOLOGY	the study of ageing [n]
GERONTOMORPHIC	of, pertaining to, or designating anatomical specialization most fully represented in the mature male of a species [adj]
GERONTOPHIL	GERONTOPHILIA, sexual attraction to elderly people (not_family) (not_family) [n]
GERONTOPHILE	GERONTOPHILIA, sexual attraction to elderly people (not_family) (not_family) [n]
GERONTOPHILES	GERONTOPHILIA, sexual attraction to elderly people (not_family) (not_family) [n]
GERONTOPHILIA	sexual attraction to elderly people (not_family) [n]
GERONTOPHILIAS	GERONTOPHILIA, sexual attraction to elderly people (not_family) (not_family) [n]
GERONTOPHILS	GERONTOPHILIA, sexual attraction to elderly people (not_family) (not_family) [n]
GERONTOPHOBE	GERONTOPHOBIA, a fear of old age or of growing old [n]
GERONTOPHOBES	GERONTOPHOBIA, a fear of old age or of growing old [n]
GERONTOPHOBIA	a fear of old age or of growing old [n]
GERONTOPHOBIAS	GERONTOPHOBIA, a fear of old age or of growing old [n]
GEROPIGA	grape syrup used to sweeten inferior port wines [n]
GEROPIGAS	GEROPIGA, grape syrup used to sweeten inferior port wines [n]
GERRYMANDER	to rearrange (voting districts) in the interests of a particular party or candidate [v]
GERRYMANDERED	GERRYMANDER, to rearrange (voting districts) in the interests of a particular party or candidate [v]
GERRYMANDERER	GERRYMANDER, to rearrange (voting districts) in the interests of a particular party or candidate [v]
GERRYMANDERERS	GERRYMANDER, to rearrange (voting districts) in the interests of a particular party or candidate [v]
GERRYMANDERING	the process of redistricting voting boundaries to benefit one group over another [n]
GERRYMANDERINGS	GERRYMANDERING, the process of redistricting voting boundaries to benefit one group over another [n]
GERRYMANDERS	GERRYMANDER, to rearrange (voting districts) in the interests of a particular party or candidate [v]
GERS	GER, portable Mongolian dwelling [n]
GERT	in dialect, great or very big [adv]
GERTCHA	get out of here! [interj]
GERUND	noun formed from a verb [n]
GERUNDIAL	GERUND, noun formed from a verb [n]
GERUNDIVAL	GERUNDIVE, (in Latin grammar) an adjective formed from a verb, expressing the desirability of the activity denoted by the verb [n]
GERUNDIVE	(in Latin grammar) an adjective formed from a verb, expressing the desirability of the activity denoted by the verb [n] / of or relating to the gerund or gerundive [adj]
GERUNDIVELY	GERUNDIVE, (in Latin grammar) an adjective formed from a verb, expressing the desirability of the activity denoted by the verb [n]
GERUNDIVES	GERUNDIVE, (in Latin grammar) an adjective formed from a verb, expressing the desirability of the activity denoted by the verb [n]
GERUNDS	GERUND, noun formed from a verb [n]
GESELLSCHAFT	a rationally developed mechanistic type of social relationship characterized by impersonally contracted associations between persons [n]
GESELLSCHAFTEN	GESELLSCHAFT, a rationally developed mechanistic type of social relationship characterized by impersonally contracted associations between persons [n]
GESELLSCHAFTS	GESELLSCHAFT, a rationally developed mechanistic type of social relationship characterized by impersonally contracted associations between persons [n]
GESNERIA	S American plant grown for its bright flowers [n]
GESNERIAD	GESNERIA, S American plant grown for its bright flowers [n]
GESNERIADS	GESNERIA, S American plant grown for its bright flowers [n]
GESNERIAS	GESNERIA, S American plant grown for its bright flowers [n]
GESSAMINE	JASMINE, shrub with sweet-smelling yellow or white flowers [n]
GESSAMINES	JASMINE, shrub with sweet-smelling yellow or white flowers [n]
GESSE	GUESS, estimate or draw a conclusion without proper knowledge [v]
GESSED	<gesse>
GESSES	<gesse>
GESSING	<gesse>
GESSO	plaster used for painting or in sculpture [n] / apply gesso to [v]
GESSOED	GESSO, plaster used for painting or in sculpture [n]
GESSOES	GESSO, plaster used for painting or in sculpture [n]
GEST	notable deed or exploit (archaic) [n]
GESTALT	perceptual pattern or structure [n]
GESTALTEN	GESTALT, perceptual pattern or structure [n]
GESTALTISM	GESTALT, perceptual pattern or structure [n]
GESTALTISMS	GESTALT, perceptual pattern or structure [n]
GESTALTIST	GESTALT, perceptual pattern or structure [n]
GESTALTISTS	GESTALT, perceptual pattern or structure [n]
GESTALTS	GESTALT, perceptual pattern or structure [n]
GESTANT	laden [adj]
GESTAPO	any secret state police organization [n]
GESTAPOS	GESTAPO, any secret state police organization [n]
GESTATE	carry (young) in the uterus during pregnancy [v]
GESTATED	GESTATE, carry (young) in the uterus during pregnancy [v]
GESTATES	GESTATE, carry (young) in the uterus during pregnancy [v]
GESTATING	GESTATE, carry (young) in the uterus during pregnancy [v]
GESTATION	(period of) carrying of young in the womb between conception and birth [n]
GESTATIONAL	GESTATION, (period of) carrying of young in the womb between conception and birth [n]
GESTATIONS	GESTATION, (period of) carrying of young in the womb between conception and birth [n]
GESTATIVE	GESTATION, (period of) carrying of young in the womb between conception and birth [n]
GESTATORIAL	related to carrying [adj]
