AA	volcanic rock [n]
ABORIGINALISM	ABORIGINE, original inhabitant [n]
ABORIGINALISMS	ABORIGINE, original inhabitant [n]
ABORIGINALITIES	ABORIGINALITY, the state of being aboriginal [n]
ABORIGINALITY	the state of being aboriginal [n]
ABORIGINALLY	ABORIGINAL, indigenous [adj]
ABORIGINALS	ABORIGINAL, indigenous [adj]
ABORIGINE	original inhabitant [n]
ABORIGINES	ABORIGINE, original inhabitant [n]
ABORIGINS	ABORIGIN, aborigine [n]
ABORNE	Shakespearean form of auburn (archaic) [adj]
ABORNING	ABEAR, bear or behave [v]
ABORT	terminate [v] / termination or failure [n]
ABORTED	ABORT, terminate [v]
ABORTEE	woman having an abortion [n]
ABORTEES	ABORTEE, woman having an abortion [n]
ABORTER	ABORT, terminate [v]
ABORTERS	ABORT, terminate [v]
ABORTICIDE	killing of unborn fetus (not_family) [n]
ABORTICIDES	ABORTICIDE, killing of unborn fetus (not_family) (not_family) [n]
ABORTIFACIENT	a drug used in abortions (not_family) [n]
ABORTIFACIENTS	ABORTIFACIENT, a drug used in abortions (not_family) (not_family) [n]
ABORTING	ABORT, terminate [v]
ABORTION	operation to end a pregnancy [n]
ABORTIONAL	ABORTION, operation to end a pregnancy [n]
ABORTIONIST	one who induces abortions (not_family) [n]
ABORTIONISTS	ABORTIONIST, one who induces abortions (not_family) (not_family) [n]
ABORTIONS	ABORTION, operation to end a pregnancy [n]
ABORTIVE	unsuccessful [adj]
ABORTIVELY	ABORTIVE, unsuccessful [adj]
ABORTIVENESS	ABORTIVE, unsuccessful [adj]
ABORTIVENESSES	ABORTIVE, unsuccessful [adj]
ABORTS	ABORT, terminate [v]
ABORTUARIES	ABORTUARY, place where abortions are performed (not_family) (not_family) [n]
ABORTUARY	place where abortions are performed (not_family) [n]
ABORTUS	aborted fetus [n]
ABORTUSES	ABORTUS, aborted fetus [n]
ABOUGHT	ABY, pay the penalty for (archaic) (archaic) [v]
ABOULIA	abulia (pathological inability to take decisions)
ABOULIAS	ABOULIA [n]
